(START) |- 0
0 0 0
0 1 1
1 0 2
1 1 3
2 0 4
2 1 5
3 0 6
3 1 7
4 0 8
4 1 9
5 0 10
5 1 11
6 0 12
6 1 13
7 0 14
7 1 15
8 0 16
8 1 17
9 0 18
9 1 19
10 0 20
10 1 21
11 0 22
11 1 23
12 0 24
12 1 25
13 0 26
13 1 27
14 0 28
14 1 29
15 0 30
15 1 31
16 0 0
16 1 1
17 0 2
17 1 3
18 0 4
18 1 5
19 0 6
19 1 7
20 0 8
20 1 9
21 0 10
21 1 11
22 0 12
22 1 13
23 0 14
23 1 15
24 0 16
24 1 17
25 0 18
25 1 19
26 0 20
26 1 21
27 0 22
27 1 23
28 0 24
28 1 25
29 0 26
29 1 27
30 0 28
30 1 29
31 0 30
31 1 31
16 -| (FINAL)
17 -| (FINAL)	
18 -| (FINAL)
19 -| (FINAL)
20 -| (FINAL)
21 -| (FINAL)
22 -| (FINAL)
23 -| (FINAL)
24 -| (FINAL)
25 -| (FINAL)
26 -| (FINAL)
27 -| (FINAL)
28 -| (FINAL)
29 -| (FINAL)
30 -| (FINAL)
31 -| (FINAL)
